Tue Oct 22 10:06:23 2019,262.04,73,deg F,,
Tue Oct 22 10:06:23 2019,262.05,73,deg F,,
Tue Oct 22 10:06:23 2019,262.06,73,deg F,,
Tue Oct 22 10:06:23 2019,262.07,73,deg F,,
Tue Oct 22 10:06:23 2019,262.08,73,deg F,,
Tue Oct 22 10:06:23 2019,262.09,73,deg F,,
Tue Oct 22 10:06:23 2019,262.1,73,deg F,,
Tue Oct 22 10:06:23 2019,262.11,73,deg F,,
Tue Oct 22 10:06:23 2019,262.12,73,deg F,,
Tue Oct 22 10:06:23 2019,262.13,73,deg F,,
Tue Oct 22 10:06:23 2019,267,71,deg F,643,ppm
Tue Oct 22 10:06:23 2019,270,73,deg F,,
Tue Oct 22 10:06:23 2019,270.01,73,deg F,,
Tue Oct 22 10:06:23 2019,270.02,73,deg F,,
Tue Oct 22 10:06:23 2019,271,72,deg F,1088,ppm
Tue Oct 22 10:06:23 2019,272,73,deg F,1258,ppm
Tue Oct 22 10:06:23 2019,273,73,deg F,273,ppm
Tue Oct 22 10:06:23 2019,301,74,deg F,1015,ppm
Tue Oct 22 10:06:23 2019,303,73,deg F,,
Tue Oct 22 10:06:23 2019,304,73,deg F,,
Tue Oct 22 10:06:23 2019,305,72,deg F,955,ppm
Tue Oct 22 10:06:23 2019,306,73,deg F,,
Tue Oct 22 10:06:23 2019,307,72,deg F,1080,ppm
Tue Oct 22 10:06:23 2019,308,73,deg F,,
Tue Oct 22 10:06:23 2019,309,73,deg F,1234,ppm
Tue Oct 22 10:06:23 2019,310,72,deg F,,
Tue Oct 22 10:06:23 2019,311,73,deg F,1206,ppm
Tue Oct 22 10:06:23 2019,312,73,deg F,,
Tue Oct 22 10:06:23 2019,313,72,deg F,982,ppm
Tue Oct 22 10:06:23 2019,315,72,deg F,,
Tue Oct 22 10:06:23 2019,317,72,deg F,,
Tue Oct 22 10:06:23 2019,319,72,deg F,,
Tue Oct 22 10:06:23 2019,320,73,deg F,1154,ppm
Tue Oct 22 10:06:23 2019,321,72,deg F,,
Tue Oct 22 10:06:23 2019,322,73,deg F,,
Tue Oct 22 10:06:23 2019,323,70,deg F,1998,ppm
Tue Oct 22 10:06:23 2019,324.01,73,deg F,,
Tue Oct 22 10:06:23 2019,324.02,73,deg F,,
Tue Oct 22 10:06:23 2019,324.03,73,deg F,,
Tue Oct 22 10:06:23 2019,324.04,73,deg F,,
Tue Oct 22 10:06:23 2019,325,73,deg F,994,ppm
Tue Oct 22 10:06:23 2019,326,73,deg F,1034,ppm
Tue Oct 22 10:06:23 2019,327,76,deg F,,
Tue Oct 22 10:06:23 2019,328,74,deg F,1700,ppm
Tue Oct 22 10:06:23 2019,329,76,deg F,,
Tue Oct 22 10:06:23 2019,331,76,deg F,,
Tue Oct 22 10:06:23 2019,333,76,deg F,,
Tue Oct 22 10:06:23 2019,335,69,deg F,1636,ppm
Tue Oct 22 10:06:23 2019,337,70,deg F,1992,ppm
Tue Oct 22 10:06:23 2019,339,71,deg F,1999,ppm
Tue Oct 22 10:06:23 2019,341,71,deg F,2000,ppm
Tue Oct 22 10:06:23 2019,343,69,deg F,1132,ppm
Tue Oct 22 10:06:23 2019,345,71,deg F,1192,ppm
Tue Oct 22 10:06:23 2019,347,70,deg F,1105,ppm
Tue Oct 22 10:06:23 2019,349,67,deg F,1263,ppm
Tue Oct 22 10:06:23 2019,351,67,deg F,1060,ppm
Tue Oct 22 10:06:23 2019,353,71,deg F,1202,ppm
Tue Oct 22 10:06:23 2019,355,71,deg F,,
Tue Oct 22 10:06:23 2019,357,73,deg F,1829,ppm
Tue Oct 22 10:06:23 2019,359,73,deg F,1717,ppm
Tue Oct 22 10:06:23 2019,361,71,deg F,1923,ppm
Tue Oct 22 10:06:23 2019,363,70,deg F,926,ppm
Tue Oct 22 10:06:23 2019,365,70,deg F,1321,ppm
Tue Oct 22 10:06:23 2019,367,69,deg F,816,ppm
Tue Oct 22 10:06:23 2019,369,69,deg F,2000,ppm
Tue Oct 22 10:06:23 2019,370,71,deg F,1485,ppm
Tue Oct 22 10:06:23 2019,372,73,deg F,,
Tue Oct 22 10:06:23 2019,373,72,deg F,1000,ppm
Tue Oct 22 10:06:23 2019,374,73,deg F,,
Tue Oct 22 10:06:23 2019,375.01,70,deg F,1015,ppm
Tue Oct 22 10:06:23 2019,375.02,72,deg F,1068,ppm
Tue Oct 22 10:06:23 2019,376,73,deg F,,
Tue Oct 22 10:06:23 2019,377,72,deg F,984,ppm
Tue Oct 22 10:06:23 2019,377.01,69,deg F,986,ppm
Tue Oct 22 10:06:23 2019,378,73,deg F,,
Tue Oct 22 10:06:23 2019,379,70,deg F,1052,ppm
Tue Oct 22 10:06:23 2019,380,73,deg F,,
Tue Oct 22 10:06:23 2019,381,73,deg F,1035,ppm
Tue Oct 22 10:06:23 2019,255A&B,69,deg F,1208,ppm
Tue Oct 22 10:06:23 2019,260A,146,deg F,,
Tue Oct 22 10:06:23 2019,260B,73,deg F,,
Tue Oct 22 10:06:23 2019,261.12A,73,deg F,,
Tue Oct 22 10:06:23 2019,264A,69,deg F,1110,ppm
