Wed Oct 23 12:00:01 2019,255A&B,71,deg F,1449.0,ppm
Wed Oct 23 12:00:01 2019,361,71,deg F,1468.0,ppm
Wed Oct 23 12:00:01 2019,363,72,deg F,1534.0,ppm
Wed Oct 23 12:00:01 2019,343,71,deg F,1535.0,ppm
Wed Oct 23 12:00:01 2019,224,73,deg F,1597.0,ppm
Wed Oct 23 12:00:01 2019,339,72,deg F,1620.0,ppm
Wed Oct 23 12:00:01 2019,357,70,deg F,1664.0,ppm
Wed Oct 23 12:00:01 2019,341,72,deg F,1872.0,ppm
Wed Oct 23 12:00:01 2019,335,71,deg F,1980.0,ppm
Wed Oct 23 12:00:01 2019,337,71,deg F,1991.0,ppm
Wed Oct 23 12:00:01 2019,309,73,deg F,1994.0,ppm
Wed Oct 23 12:00:01 2019,323,72,deg F,1998.0,ppm
Wed Oct 23 12:00:01 2019,369,69,deg F,2000.0,ppm
Wed Oct 23 14:00:01 2019,370,71,deg F,1218.0,ppm
Wed Oct 23 14:00:01 2019,205,77,deg F,1222.0,ppm
Wed Oct 23 14:00:01 2019,307,75,deg F,1225.0,ppm
Wed Oct 23 14:00:01 2019,272,73,deg F,1235.0,ppm
Wed Oct 23 14:00:01 2019,203,76,deg F,1283.0,ppm
Wed Oct 23 14:00:01 2019,311,75,deg F,1294.0,ppm
Wed Oct 23 14:00:01 2019,377,72,deg F,1312.0,ppm
Wed Oct 23 14:00:01 2019,363,72,deg F,1379.0,ppm
Wed Oct 23 14:00:01 2019,251,73,deg F,1383.0,ppm
Wed Oct 23 14:00:01 2019,341,71,deg F,1393.0,ppm
Wed Oct 23 14:00:01 2019,230,0,deg F,1400.0,ppm
Wed Oct 23 14:00:01 2019,359,73,deg F,1404.0,ppm
Wed Oct 23 14:00:01 2019,339,72,deg F,1414.0,ppm
Wed Oct 23 14:00:01 2019,349,69,deg F,1437.0,ppm
Wed Oct 23 14:00:01 2019,343,72,deg F,1506.0,ppm
Wed Oct 23 14:00:01 2019,337,70,deg F,1528.0,ppm
Wed Oct 23 14:00:01 2019,357,71,deg F,1628.0,ppm
Wed Oct 23 14:00:01 2019,335,71,deg F,1872.0,ppm
Wed Oct 23 14:00:01 2019,309,73,deg F,1994.0,ppm
Wed Oct 23 14:00:01 2019,323,74,deg F,1998.0,ppm
